EndStation Name,July 5th,August 2nd,July 12th,July 26th,Average Count,July 19th(Heatwave day),Latitude,Longitude
"Freston Road, Avondale",20.0,24.0,17.0,14.0,18.75,13.0,51.512981,-0.219486
"Frith Street, Soho",55.0,105.0,76.0,67.0,75.75,61.0,51.513103,-0.131213
"Fulham Broadway, Walham Green",135.0,105.0,121.0,99.0,115.0,106.0,51.479932,-0.194116
"Fulham Park Road, Fulham",37.0,41.0,44.0,22.0,36.0,25.0,51.473471,-0.20782
"Furze Green, Bow",50.0,46.0,46.0,37.0,44.75,42.0,51.519265,-0.021345
"Garnet Street, Shadwell",34.0,47.0,49.0,31.0,40.25,47.0,51.508447,-0.055167
"Gas Holders, Battersea Park",115.0,127.0,118.0,116.0,119.0,83.0,51.477966,-0.147857
"Gascoyne Road, Victoria Park",55.0,50.0,44.0,45.0,48.5,45.0,51.541515,-0.038557
"Gauden Road, Clapham",47.0,55.0,59.0,55.0,54.0,47.0,51.464995,-0.130908
"Gaywood  Street, Elephant & Castle",42.0,36.0,43.0,37.0,39.5,42.0,51.49605,-0.104193
"George Place Mews, Marylebone",55.0,44.0,59.0,39.0,49.25,39.0,51.516892,-0.158249
"George Row, Bermondsey",37.0,50.0,43.0,42.0,43.0,57.0,51.498585,-0.068981
"George Street, Marylebone",64.0,58.0,54.0,48.0,56.0,43.0,51.517703,-0.154106
"Geraldine Street, Elephant & Castle",13.0,12.0,15.0,13.0,13.25,14.0,51.496127,-0.106
"Globe Town Market, Bethnal Green",42.0,47.0,43.0,50.0,45.5,45.0,51.528869,-0.047548
"Gloucester Avenue, Camden Town",38.0,36.0,43.0,40.0,39.25,18.0,51.537349,-0.147154
"Gloucester Road (Central), South Kensington",51.0,37.0,44.0,39.0,42.75,31.0,51.496462,-0.183289
"Gloucester Road (North), Kensington",43.0,61.0,70.0,62.0,59.0,56.0,51.497924,-0.183834
"Gloucester Road Station, South Kensington",110.0,102.0,82.0,84.0,94.5,84.0,51.494185,-0.18267
"Gloucester Street, Pimlico",61.0,60.0,54.0,41.0,54.0,63.0,51.490962,-0.139625
"Gloucester Terrace, Bayswater",31.0,34.0,44.0,40.0,37.25,34.0,51.517919,-0.188098
"Godliman Street, St. Paul's",77.0,69.0,69.0,71.0,71.5,53.0,51.512484,-0.099141
"Golden Lane, Barbican",56.0,60.0,68.0,61.0,61.25,51.0,51.521747,-0.094475
"Golden Square, Soho",73.0,82.0,88.0,88.0,82.75,71.0,51.511897,-0.137043
"Goldsmith's Row, Haggerston",56.0,58.0,57.0,53.0,56.0,55.0,51.531864,-0.066035
"Good's Way, King's Cross",97.0,102.0,92.0,82.0,93.25,73.0,51.534667,-0.125078
"Goswell Road (City Uni), Finsbury",21.0,28.0,27.0,21.0,24.25,17.0,51.528246,-0.101026
"Grafton Street, Mayfair",59.0,32.0,29.0,49.0,42.25,30.0,51.509992,-0.143495
"Graham Street, Angel",42.0,60.0,48.0,50.0,50.0,60.0,51.532661,-0.099981
"Granby Street, Shoreditch",55.0,69.0,70.0,62.0,64.0,58.0,51.525645,-0.069543
"Grant Road East, Clapham Junction",60.0,49.0,54.0,33.0,49.0,30.0,51.464894,-0.173029
"Great Dover Street, The Borough",66.0,43.0,64.0,55.0,57.0,48.0,51.497382,-0.089446
"Great Percy Street, Clerkenwell",38.0,38.0,36.0,31.0,35.75,30.0,51.528915,-0.11548
"Great Russell Street, Bloomsbury",76.0,69.0,58.0,51.0,63.5,60.0,51.517727,-0.127854
"Great Suffolk Street, The Borough",35.0,44.0,34.0,35.0,37.0,25.0,51.501732,-0.100292
"Great Titchfield Street, Fitzrovia",50.0,50.0,46.0,49.0,48.75,44.0,51.520253,-0.141327
"Great Tower Street, Monument",119.0,123.0,123.0,113.0,119.5,97.0,51.510484,-0.082989
"Green Park Station, Mayfair",143.0,144.0,135.0,127.0,137.25,124.0,51.506613,-0.142844
"Green Street, Mayfair",97.0,91.0,111.0,92.0,97.75,64.0,51.512276,-0.157436
"Greenberry Street, St.John's Wood",27.0,11.0,8.0,11.0,14.25,9.0,51.53256,-0.16862
"Greenland Road, Camden Town",70.0,57.0,85.0,60.0,68.0,39.0,51.539099,-0.141728
"Grenfell Road, Avondale",17.0,19.0,25.0,21.0,20.5,18.0,51.5129,-0.214762
"Greycoat Street , Westminster",19.0,15.0,17.0,12.0,15.75,14.0,51.494591,-0.134234
"Greyhound Road, Hammersmith",41.0,56.0,44.0,42.0,45.75,49.0,51.486062,-0.214428
"Grosvenor Crescent, Belgravia",9.0,7.0,9.0,13.0,9.5,10.0,51.501352,-0.153194
"Grosvenor Road, Pimlico",30.0,35.0,29.0,38.0,33.0,44.0,51.485357,-0.142207
"Grosvenor Square, Mayfair",127.0,68.0,107.0,92.0,98.5,84.0,51.51217,-0.150481
"Grove End Road, St. John's Wood",45.0,36.0,36.0,31.0,37.0,26.0,51.530889,-0.17677
"Guildhouse Street, Victoria",35.0,41.0,32.0,39.0,36.75,20.0,51.492345,-0.141334
"Guilford Street , Bloomsbury",82.0,68.0,67.0,62.0,69.75,64.0,51.523346,-0.120202
"Gunmakers Lane, Old Ford",25.0,35.0,43.0,33.0,34.0,30.0,51.535179,-0.03338
"Gwendwr Road, West Kensington",35.0,29.0,26.0,21.0,27.75,27.0,51.491026,-0.209121
"Haggerston Road, Haggerston",65.0,73.0,72.0,70.0,70.0,52.0,51.539328,-0.074284
"Halford Road, West Kensington",50.0,45.0,45.0,27.0,41.75,54.0,51.483911,-0.197609
"Hammersmith Road, Hammersmith",48.0,72.0,75.0,52.0,61.75,53.0,51.493267,-0.21985
"Hampstead Road, Euston",66.0,68.0,58.0,66.0,64.5,51.0,51.525542,-0.138231
"Hampton Street, Walworth",59.0,59.0,62.0,56.0,59.0,53.0,51.49217,-0.101536
"Handyside Street, King's Cross",64.0,72.0,50.0,67.0,63.25,53.0,51.53724,-0.124807
"Hansard Mews, Holland Park",29.0,36.0,34.0,38.0,34.25,29.0,51.503802,-0.215808
"Harcourt Terrace, West Brompton",63.0,52.0,68.0,66.0,62.25,63.0,51.487958,-0.187404
"Hardwick Street, Clerkenwell",27.0,24.0,26.0,16.0,23.25,18.0,51.527842,-0.108068
"Harford Street, Mile End",27.0,30.0,26.0,15.0,24.5,28.0,51.521564,-0.039264
"Harper Road, The Borough",30.0,31.0,38.0,32.0,32.75,38.0,51.498597,-0.096191
"Harriet Street, Knightsbridge",64.0,48.0,116.0,43.0,67.75,57.0,51.500241,-0.15934
"Harrington Square 1, Camden Town",53.0,49.0,58.0,24.0,46.0,28.0,51.533019,-0.139174
"Harrowby Street, Marylebone",31.0,38.0,44.0,33.0,36.5,23.0,51.517372,-0.164207
"Hartington Road, Stockwell",54.0,59.0,58.0,48.0,54.75,46.0,51.47787,-0.126874
"Hatton Garden, Holborn",63.0,66.0,61.0,66.0,64.0,50.0,51.518825,-0.108028
"Hatton Wall, Holborn",63.0,85.0,81.0,94.0,80.75,65.0,51.521661,-0.109006
"Hawley Crescent, Camden Town",20.0,26.0,,11.0,19.0,19.0,51.541007,-0.14326
"Heath Road, Battersea",16.0,19.0,25.0,20.0,20.0,19.0,51.468669,-0.146544
"Here East North, Queen Elizabeth Olympic Park",22.0,14.0,13.0,16.0,16.25,31.0,51.548731,-0.022606
"Here East South, Queen Elizabeth Olympic Park",17.0,6.0,12.0,10.0,11.25,2.0,51.546532,-0.020597
"Hereford Road, Bayswater",42.0,44.0,35.0,41.0,40.5,41.0,51.513735,-0.193487
"Hermitage Court, Wapping",26.0,37.0,33.0,32.0,32.0,32.0,51.504719,-0.063531
"Heron Quays DLR, Canary Wharf",27.0,31.0,13.0,24.0,23.75,16.0,51.502661,-0.021596
"Hertford Road, De Beauvoir Town",36.0,46.0,38.0,51.0,42.75,43.0,51.537277,-0.079201
"Hewison Street, Old Ford",37.0,46.0,36.0,26.0,36.25,35.0,51.533283,-0.028155
"Hibbert Street, Battersea",74.0,70.0,60.0,51.0,63.75,55.0,51.46517,-0.180389
"High Holborn , Covent Garden",69.0,77.0,72.0,71.0,72.25,59.0,51.516226,-0.124826
"Hinde Street, Marylebone",77.0,79.0,81.0,78.0,78.75,59.0,51.516814,-0.151926
"Holborn Circus, Holborn",195.0,149.0,185.0,182.0,177.75,133.0,51.51795,-0.108657
"Holden Street, Battersea",23.0,16.0,16.0,15.0,17.5,19.0,51.46879,-0.15823
"Holland Park, Kensington",11.0,31.0,16.0,20.0,19.5,8.0,51.502319,-0.200742
"Hollybush Gardens, Bethnal Green",28.0,36.0,27.0,19.0,27.5,24.0,51.527607,-0.057133
"Holy Trinity Brompton, Knightsbridge",71.0,57.0,69.0,66.0,65.75,61.0,51.497056,-0.168917
"Hop Exchange, The Borough",228.0,222.0,246.0,234.0,232.5,212.0,51.504627,-0.091773
"Horseferry Road, Westminster",54.0,70.0,70.0,65.0,64.75,44.0,51.494816,-0.130458
"Hortensia Road, West Brompton",35.0,52.0,58.0,40.0,46.25,33.0,51.481765,-0.185273
"Houghton Street, Strand",36.0,26.0,44.0,31.0,34.25,23.0,51.51362,-0.116764
"Houndsditch, Aldgate",62.0,50.0,60.0,60.0,58.0,51.0,51.514449,-0.077178
"Howick Place, Westminster",77.0,79.0,104.0,107.0,91.75,76.0,51.496753,-0.138733
"Howland Street, Fitzrovia",77.0,89.0,93.0,74.0,83.25,53.0,51.520994,-0.139016
"Hoxton Station, Hoxton",44.0,39.0,59.0,44.0,46.5,44.0,51.531091,-0.075901
"Hoxton Street, Hoxton",20.0,18.0,28.0,15.0,20.25,14.0,51.52959,-0.0801
"Humbolt Road, Fulham",41.0,40.0,57.0,41.0,44.75,46.0,51.483217,-0.21186
"Hurlingham Park, Parsons Green",26.0,23.0,21.0,20.0,22.5,13.0,51.470131,-0.20464
"Hyde Park Corner, Hyde Park",397.0,296.0,442.0,388.0,380.75,271.0,51.503117,-0.15352
"Ilchester Gardens, Bayswater",61.0,43.0,42.0,47.0,48.25,35.0,51.51244,-0.19096
"Ilchester Place, Kensington",10.0,14.0,9.0,10.0,10.75,15.0,51.500743,-0.202759
"Imperial College, Knightsbridge",92.0,75.0,61.0,56.0,71.0,74.0,51.499428,-0.179702
"Imperial Road, Sands End",37.0,54.0,43.0,26.0,40.0,26.0,51.475142,-0.187278
"Imperial Wharf Station, Sands End",85.0,81.0,74.0,91.0,82.75,84.0,51.474665,-0.183165
"Import Dock, Canary Wharf",57.0,52.0,52.0,61.0,55.5,50.0,51.505772,-0.01646
"Ingrave Street, Clapham Junction",18.0,8.0,16.0,15.0,14.25,21.0,51.467454,-0.172293
"Irene Road, Parsons Green",45.0,29.0,33.0,25.0,33.0,43.0,51.473763,-0.19701
"Islington Green, Angel",118.0,97.0,114.0,85.0,103.5,112.0,51.536384,-0.102757
"Jewry Street, Aldgate",51.0,65.0,70.0,64.0,62.5,56.0,51.513406,-0.076793
"Jubilee Crescent, Cubitt Town",23.0,19.0,26.0,26.0,23.5,18.0,51.493381,-0.007542
"Jubilee Plaza, Canary Wharf",90.0,75.0,78.0,63.0,76.5,74.0,51.5034,-0.020242
"Jubilee Street, Stepney",29.0,26.0,39.0,32.0,31.5,23.0,51.515975,-0.053177
"Kennington Cross, Kennington",81.0,76.0,87.0,77.0,80.25,70.0,51.48894,-0.111435
"Kennington Lane Rail Bridge, Vauxhall",130.0,92.0,138.0,83.0,110.75,80.0,51.486343,-0.122492
"Kennington Oval, Oval",37.0,40.0,62.0,47.0,46.5,51.0,51.483145,-0.113134
"Kennington Road  , Vauxhall",43.0,33.0,44.0,45.0,41.25,55.0,51.495718,-0.110889
"Kennington Road Post Office, Oval",33.0,30.0,62.0,34.0,39.75,57.0,51.484788,-0.110683
"Kennington Station, Kennington",42.0,52.0,37.0,27.0,39.5,43.0,51.488852,-0.105593
"Kensington Church Street, Kensington",64.0,56.0,69.0,78.0,66.75,57.0,51.503157,-0.191496
"Kensington Gore, Knightsbridge",13.0,33.0,14.0,29.0,22.25,20.0,51.501432,-0.178656
"Kensington Olympia Station, Olympia",44.0,35.0,41.0,28.0,37.0,25.0,51.498157,-0.209494
"Kensington Town Hall, Kensington",22.0,18.0,25.0,36.0,25.25,14.0,51.501945,-0.194392
"Killick Street, King's Cross",17.0,15.0,16.0,22.0,17.5,16.0,51.5338,-0.118677
"King Edward Street, St Pauls",30.0,32.0,38.0,30.0,32.5,41.0,51.51601,-0.0985
"King Edward Walk, Waterloo",17.0,15.0,22.0,12.0,16.5,5.0,51.49775,-0.10988
"Kings Gate House, Westminster",39.0,37.0,55.0,46.0,44.25,34.0,51.497698,-0.137598
"Kingsway Southbound, Strand",50.0,54.0,60.0,20.0,46.0,31.0,51.513875,-0.117774
"Kingsway, Covent Garden",24.0,18.0,24.0,27.0,23.25,15.0,51.514409,-0.118478
"Knaresborough Place, Earl's Court",46.0,33.0,45.0,36.0,40.0,47.0,51.493631,-0.190603
"Knightsbridge, Hyde Park",14.0,47.0,21.0,29.0,27.75,22.0,51.502757,-0.155349
"LMU Commercial Road, Whitechapel",58.0,65.0,76.0,61.0,65.0,72.0,51.514924,-0.066078
"LSBU (Borough Road), Elephant & Castle",50.0,28.0,49.0,26.0,38.25,43.0,51.498744,-0.103132
"Ladbroke Grove Central, Ladbroke Grove",9.0,9.0,10.0,4.0,8.0,6.0,51.511624,-0.205921
"Lambeth North Station, Waterloo",37.0,39.0,23.0,47.0,36.5,28.0,51.49914,-0.112031
"Lambeth Palace Road, Waterloo",124.0,127.0,112.0,111.0,118.5,91.0,51.500089,-0.116628
"Lambeth Road, Vauxhall",41.0,54.0,26.0,40.0,40.25,41.0,51.494881,-0.117974
"Lancaster Drive, Blackwall",11.0,14.0,19.0,10.0,13.5,8.0,51.503143,-0.008428
"Lancaster Gate , Bayswater",47.0,30.0,53.0,60.0,47.5,50.0,51.511654,-0.179668
"Langdon Park, Poplar",9.0,15.0,9.0,8.0,10.25,4.0,51.51549,-0.013475
"Lansdowne Drive, Hackney Central",39.0,38.0,21.0,43.0,35.25,48.0,51.539834,-0.062806
"Lansdowne Road, Ladbroke Grove",50.0,45.0,49.0,39.0,45.75,41.0,51.507481,-0.205535
"Lansdowne Walk, Ladbroke Grove",15.0,16.0,13.0,9.0,13.25,9.0,51.509591,-0.204666
"Lavington Street, Bankside",38.0,66.0,52.0,47.0,50.75,53.0,51.505224,-0.098031
"Lee Valley VeloPark, Queen Elizabeth Olympic Park",23.0,18.0,34.0,,25.0,,51.549369,-0.015717
"Leman Street, Aldgate",94.0,81.0,84.0,108.0,91.75,84.0,51.512363,-0.069542
"Leonard Circus , Shoreditch",84.0,106.0,104.0,87.0,95.25,60.0,51.524696,-0.084439
"Lexham Gardens, Kensington",55.0,44.0,59.0,45.0,50.75,36.0,51.495866,-0.191933
"Lightermans Road, Millwall",19.0,26.0,19.0,38.0,25.5,35.0,51.499041,-0.020157
"Limburg Road, Clapham Junction",9.0,19.0,18.0,10.0,14.0,11.0,51.461923,-0.165297
"Limerston Street, West Chelsea",121.0,92.0,138.0,106.0,114.25,108.0,51.485587,-0.18119
"Lincoln's Inn Fields, Holborn",45.0,37.0,45.0,29.0,39.0,37.0,51.516277,-0.118272
"Lisson Grove, St. John's Wood",19.0,32.0,14.0,17.0,20.5,13.0,51.526448,-0.17219
"Little Argyll Street, West End",184.0,162.0,148.0,151.0,161.25,149.0,51.514499,-0.141423
"Little Brook Green, Brook Green",30.0,37.0,45.0,22.0,33.5,48.0,51.496664,-0.223868
"Liverpool Road (N1 Centre), Angel",71.0,82.0,67.0,64.0,71.0,58.0,51.534504,-0.106992
"Lollard Street, Vauxhall",53.0,51.0,60.0,62.0,56.5,43.0,51.49288,-0.114934
"London Fields, Hackney Central",99.0,134.0,143.0,120.0,124.0,137.0,51.54119,-0.058826
"London Street, Paddington",95.0,103.0,57.0,83.0,84.5,72.0,51.515117,-0.173712
"London Zoo Car Park, The Regent's Park",22.0,40.0,31.0,28.0,30.25,21.0,51.536922,-0.150181
"London Zoo,  The Regent's Park",28.0,38.0,17.0,23.0,26.5,11.0,51.535836,-0.156285
"Long Lane , Bermondsey",56.0,54.0,63.0,49.0,55.5,32.0,51.499075,-0.085666
"Longford Street, The Regent's Park",13.0,15.0,13.0,13.0,13.5,19.0,51.525595,-0.144083
"Lord's, St. John's Wood",7.0,17.0,15.0,13.0,13.0,13.0,51.529121,-0.171185
"Lots Road, West Chelsea",39.0,36.0,38.0,24.0,34.25,39.0,51.479573,-0.179038
"Lower Marsh, Waterloo",68.0,47.0,55.0,47.0,54.25,42.0,51.500139,-0.113936
"Lower Thames Street, Monument",72.0,46.0,47.0,46.0,52.75,36.0,51.509301,-0.084985
"Macclesfield Rd, St Lukes",67.0,72.0,71.0,39.0,62.25,49.0,51.529423,-0.097122
"Maida Vale, Maida Vale",62.0,81.0,48.0,58.0,62.25,58.0,51.529857,-0.183486
"Malet Street, Bloomsbury",96.0,77.0,72.0,53.0,74.5,66.0,51.52168,-0.130431
"Mallory Street, Marylebone",17.0,15.0,23.0,15.0,17.5,13.0,51.525051,-0.166304
"Malmesbury Road, Bow",13.0,11.0,3.0,8.0,8.75,10.0,51.529452,-0.027616
"Manbre Road, Hammersmith",25.0,21.0,29.0,16.0,22.75,19.0,51.485743,-0.223616
"Manresa Road, Chelsea",51.0,39.0,47.0,47.0,46.0,40.0,51.486892,-0.170983
"Maplin Street, Mile End",72.0,89.0,101.0,73.0,83.75,71.0,51.525501,-0.032267
"Margery Street, Clerkenwell",38.0,29.0,31.0,37.0,33.75,32.0,51.526599,-0.112432
"Marloes Road, Kensington",29.0,29.0,28.0,19.0,26.25,17.0,51.496481,-0.192404
"Marylebone Lane, Marylebone",81.0,75.0,73.0,66.0,73.75,72.0,51.514759,-0.148105
"Merchant Street, Bow",20.0,21.0,23.0,23.0,21.75,11.0,51.526578,-0.027581
"Mexfield Road, East Putney",16.0,10.0,10.0,7.0,10.75,11.0,51.45682,-0.202802
"Michael Road, Walham Green",27.0,36.0,25.0,35.0,30.75,37.0,51.477276,-0.18921
"Mile End Park Leisure Centre, Mile End",53.0,26.0,51.0,17.0,36.75,65.0,51.520597,-0.032566
"Mile End Stadium, Mile End",39.0,52.0,52.0,41.0,46.0,29.0,51.518541,-0.034903
"Millbank Tower, Pimlico",51.0,61.0,55.0,66.0,58.25,56.0,51.491884,-0.125674
"Millharbour, Millwall",14.0,17.0,21.0,13.0,16.25,9.0,51.496137,-0.019355
"Milroy Walk, South Bank",48.0,50.0,61.0,59.0,54.5,48.0,51.507244,-0.106237
"Monier Road, Hackney Wick",52.0,56.0,57.0,45.0,52.5,51.0,51.540311,-0.02163
"Montpelier Street, Knightsbridge",53.0,77.0,89.0,66.0,71.25,72.0,51.498884,-0.165471
"Montserrat Road , Putney",13.0,22.0,18.0,16.0,17.25,19.0,51.463211,-0.21555
"Monument Street, Monument",92.0,76.0,74.0,74.0,79.0,67.0,51.50964,-0.08497
"Moor Street, Soho",111.0,125.0,128.0,98.0,115.5,96.0,51.513527,-0.13011
"Moorfields, Moorgate",119.0,26.0,103.0,65.0,78.25,92.0,51.519069,-0.088285
"Morie Street, Wandsworth",26.0,16.0,13.0,22.0,19.25,25.0,51.459953,-0.190184
"Mostyn Grove, Bow",24.0,30.0,44.0,21.0,29.75,29.0,51.530535,-0.025492
"Mudchute DLR, Cubitt Town",9.0,5.0,14.0,11.0,9.75,5.0,51.490645,-0.014582
"Murray Grove , Hoxton",38.0,32.0,40.0,45.0,38.75,41.0,51.53089,-0.089782
"Museum of London, Barbican",82.0,85.0,110.0,81.0,89.5,83.0,51.517821,-0.096496
"Nantes Close, Wandsworth",23.0,25.0,16.0,17.0,20.25,9.0,51.46193,-0.180791
"Napier Avenue, Millwall",10.0,14.0,10.0,19.0,13.25,16.0,51.487679,-0.021582
"Natural History Museum, South Kensington",48.0,64.0,60.0,57.0,57.25,43.0,51.495592,-0.179077
"Naval Row, Blackwall",18.0,23.0,20.0,28.0,22.25,19.0,51.508981,-0.00699
"Nesham Street, Wapping",86.0,93.0,76.0,84.0,84.75,74.0,51.507131,-0.06691
"Nevern Place, Earl's Court",21.0,24.0,28.0,24.0,24.25,32.0,51.493343,-0.194757
"Neville Gill Close, Wandsworth",22.0,33.0,33.0,28.0,29.0,17.0,51.454752,-0.195197
"New Cavendish Street, Marylebone",73.0,65.0,73.0,59.0,67.5,58.0,51.519167,-0.147983
"New Fetter Lane, Holborn",59.0,66.0,70.0,55.0,62.5,41.0,51.517428,-0.107987
"New Globe Walk, Bankside",41.0,46.0,59.0,31.0,44.25,33.0,51.507385,-0.09644
"New Inn Yard, Shoreditch",63.0,63.0,59.0,72.0,64.25,61.0,51.524526,-0.079248
"New Kent Road, The Borough",42.0,45.0,48.0,26.0,40.25,50.0,51.494436,-0.092921
"New North Road 2, Hoxton",19.0,17.0,11.0,16.0,15.75,22.0,51.53114,-0.086016
"New Road 1 , Whitechapel",68.0,56.0,68.0,94.0,71.5,68.0,51.518154,-0.062697
"New Spring Gardens Walk, Vauxhall",35.0,45.0,29.0,46.0,38.75,30.0,51.487807,-0.122759
"Newby Place, Poplar",11.0,9.0,7.0,17.0,11.0,13.0,51.508896,-0.012413
"Newgate Street , St. Paul's",126.0,93.0,102.0,125.0,111.5,104.0,51.515418,-0.09885
"Newton Street, Covent Garden",43.0,39.0,39.0,35.0,39.0,20.0,51.516128,-0.120909
"Normand Park, West Kensington",73.0,66.0,75.0,53.0,66.75,66.0,51.484386,-0.204815
"Normandy Road, Stockwell",47.0,66.0,40.0,49.0,50.5,35.0,51.473874,-0.11258
"North Audley Street, Mayfair",61.0,64.0,78.0,66.0,67.25,66.0,51.512911,-0.153645
"North Wharf Road, Paddington",56.0,67.0,57.0,56.0,59.0,35.0,51.518622,-0.176645
"Northdown Street, King's Cross",31.0,31.0,33.0,26.0,30.25,20.0,51.531066,-0.11934
"Northfields, Wandsworth",19.0,11.0,21.0,10.0,15.25,15.0,51.460951,-0.200667
"Northington Street , Holborn",54.0,66.0,53.0,50.0,55.75,41.0,51.522264,-0.114079
"Northumberland Avenue, Strand",99.0,115.0,71.0,102.0,96.75,55.0,51.506767,-0.123702
"Norton Folgate, Liverpool Street",43.0,48.0,56.0,61.0,52.0,45.0,51.521113,-0.078869
"Notting Hill Gate Station, Notting Hill",88.0,75.0,78.0,86.0,81.75,79.0,51.509353,-0.196422
"Nutford Place, Marylebone",28.0,41.0,55.0,21.0,36.25,41.0,51.516517,-0.164393
"Old Brompton Road, South Kensington",61.0,48.0,61.0,56.0,56.5,63.0,51.490945,-0.18119
"Old Ford Road, Bethnal Green",25.0,31.0,35.0,33.0,31.0,25.0,51.531127,-0.048017
"Old Montague Street, Whitechapel",54.0,57.0,46.0,58.0,53.75,39.0,51.51793,-0.067937
"Old Quebec Street, Marylebone",106.0,118.0,145.0,117.0,121.5,100.0,51.514577,-0.158264
"Old Street Station, St. Luke's",96.0,117.0,121.0,102.0,109.0,115.0,51.52548,-0.089659
"Ontario Street, Elephant & Castle",48.0,56.0,38.0,43.0,46.25,45.0,51.49652,-0.101384
"Orbel Street, Battersea",38.0,24.0,41.0,21.0,31.0,26.0,51.474535,-0.17021
"Ormonde Gate, Chelsea",68.0,21.0,37.0,37.0,40.75,44.0,51.487964,-0.161765
"Orsett Terrace, Bayswater",11.0,14.0,13.0,10.0,12.0,14.0,51.517932,-0.183716
"Osiers Road, Wandsworth",38.0,39.0,38.0,31.0,36.5,33.0,51.46067,-0.198735
"Ossulston Street, Somers Town",78.0,56.0,55.0,51.0,60.0,39.0,51.5293,-0.128279
"Oxford Road, Putney",8.0,10.0,7.0,15.0,10.0,10.0,51.460792,-0.212607
"Paddington Green, Paddington",8.0,11.0,6.0,8.0,8.25,12.0,51.520205,-0.174593
"Paddington Street, Marylebone",45.0,49.0,79.0,35.0,52.0,,51.520583,-0.154701
"Page Street, Westminster",95.0,78.0,87.0,75.0,83.75,57.0,51.493978,-0.127554
"Palace Gardens Terrace, Notting Hill",71.0,54.0,52.0,49.0,56.5,37.0,51.508605,-0.193764
"Palace Gate, Kensington Gardens",137.0,143.0,136.0,51.0,116.75,70.0,51.502042,-0.1844
"Palissy Street, Shoreditch",35.0,43.0,30.0,35.0,35.75,30.0,51.526293,-0.073955
"Pall Mall East, West End",110.0,99.0,104.0,90.0,100.75,87.0,51.50777,-0.130699
"Pancras Road, King's Cross",46.0,37.0,39.0,36.0,39.5,31.0,51.534123,-0.129386
"Panton Street, West End",110.0,100.0,125.0,96.0,107.75,92.0,51.509639,-0.13151
"Park Lane , Hyde Park",110.0,145.0,161.0,165.0,145.25,32.0,51.510017,-0.157275
"Park Lane, Mayfair",37.0,30.0,36.0,37.0,35.0,30.0,51.505426,-0.150817
"Park Road (Baker Street), The Regent's Park",68.0,96.0,87.0,65.0,79.0,68.0,51.524517,-0.158963
"Park Street, Bankside",39.0,53.0,53.0,37.0,45.5,38.0,51.505974,-0.092754
"Parkway, Camden Town",47.0,42.0,42.0,30.0,40.25,29.0,51.538071,-0.144664
"Parson's Green , Parson's Green",57.0,68.0,55.0,51.0,57.75,47.0,51.472817,-0.199783
"Parsons Green Station, Parsons Green",64.0,67.0,70.0,66.0,66.75,61.0,51.475089,-0.201968
"Pembridge Villas, Notting Hill",30.0,29.0,30.0,37.0,31.5,26.0,51.511084,-0.197524
"Penfold Street, Marylebone",13.0,14.0,8.0,6.0,10.25,13.0,51.522892,-0.171681
"Penywern Road, Earl's Court",62.0,67.0,72.0,57.0,64.5,67.0,51.491593,-0.192369
"Percival Street, Finsbury",28.0,39.0,27.0,28.0,30.5,28.0,51.526153,-0.102208
"Peterborough Road, Sands End",16.0,14.0,20.0,11.0,15.25,17.0,51.46904,-0.196274
"Phene Street, Chelsea",60.0,57.0,66.0,67.0,62.5,56.0,51.484984,-0.167919
"Phillimore Gardens, Kensington",56.0,68.0,68.0,82.0,68.5,68.0,51.499606,-0.197574
"Philpot Street, Whitechapel",41.0,48.0,46.0,50.0,46.25,41.0,51.515256,-0.058641
"Pindar Street, Liverpool Street",40.0,30.0,40.0,41.0,37.75,30.0,51.520955,-0.083493
