StartStation Name,July 5th,August 2nd,July 12th,July 26th,Average Count,July 19th(Heatwave day),Latitude,Longitude
"Freston Road, Avondale",18.0,14.0,15.0,16.0,15.75,14.0,51.512981,-0.219486
"Frith Street, Soho",52.0,82.0,78.0,68.0,70.0,54.0,51.513103,-0.131213
"Fulham Broadway, Walham Green",123.0,99.0,117.0,84.0,105.75,106.0,51.479932,-0.194116
"Fulham Park Road, Fulham",28.0,32.0,42.0,22.0,31.0,26.0,51.473471,-0.20782
"Furze Green, Bow",49.0,44.0,52.0,45.0,47.5,49.0,51.519265,-0.021345
"Garnet Street, Shadwell",32.0,39.0,53.0,33.0,39.25,53.0,51.508447,-0.055167
"Gas Holders, Battersea Park",119.0,126.0,100.0,116.0,115.25,84.0,51.477966,-0.147857
"Gascoyne Road, Victoria Park",43.0,58.0,46.0,33.0,45.0,40.0,51.541515,-0.038557
"Gauden Road, Clapham",45.0,63.0,53.0,63.0,56.0,47.0,51.464995,-0.130908
"Gaywood  Street, Elephant & Castle",36.0,42.0,47.0,38.0,40.75,42.0,51.49605,-0.104193
"George Place Mews, Marylebone",56.0,42.0,56.0,35.0,47.25,39.0,51.516892,-0.158249
"George Row, Bermondsey",46.0,48.0,45.0,50.0,47.25,54.0,51.498585,-0.068981
"George Street, Marylebone",62.0,50.0,54.0,48.0,53.5,42.0,51.517703,-0.154106
"Geraldine Street, Elephant & Castle",18.0,14.0,16.0,15.0,15.75,5.0,51.496127,-0.106
"Globe Town Market, Bethnal Green",51.0,45.0,32.0,50.0,44.5,46.0,51.528869,-0.047548
"Gloucester Avenue, Camden Town",40.0,41.0,41.0,43.0,41.25,27.0,51.537349,-0.147154
"Gloucester Road (Central), South Kensington",50.0,40.0,38.0,30.0,39.5,27.0,51.496462,-0.183289
"Gloucester Road (North), Kensington",44.0,62.0,66.0,53.0,56.25,56.0,51.497924,-0.183834
"Gloucester Road Station, South Kensington",104.0,92.0,85.0,84.0,91.25,81.0,51.494185,-0.18267
"Gloucester Street, Pimlico",53.0,71.0,63.0,38.0,56.25,70.0,51.490962,-0.139625
"Gloucester Terrace, Bayswater",46.0,44.0,35.0,31.0,39.0,38.0,51.517919,-0.188098
"Godliman Street, St. Paul's",59.0,62.0,59.0,60.0,60.0,54.0,51.512484,-0.099141
"Golden Lane, Barbican",64.0,60.0,68.0,59.0,62.75,53.0,51.521747,-0.094475
"Golden Square, Soho",73.0,65.0,78.0,80.0,74.0,59.0,51.511897,-0.137043
"Goldsmith's Row, Haggerston",44.0,71.0,67.0,53.0,58.75,54.0,51.531864,-0.066035
"Good's Way, King's Cross",96.0,109.0,92.0,95.0,98.0,71.0,51.534667,-0.125078
"Goswell Road (City Uni), Finsbury",29.0,28.0,39.0,33.0,32.25,28.0,51.528246,-0.101026
"Grafton Street, Mayfair",42.0,26.0,22.0,31.0,30.25,17.0,51.509992,-0.143495
"Graham Street, Angel",48.0,57.0,50.0,55.0,52.5,52.0,51.532661,-0.099981
"Granby Street, Shoreditch",58.0,68.0,91.0,56.0,68.25,62.0,51.525645,-0.069543
"Grant Road East, Clapham Junction",46.0,36.0,56.0,38.0,44.0,36.0,51.464894,-0.173029
"Great Dover Street, The Borough",59.0,37.0,69.0,45.0,52.5,42.0,51.497382,-0.089446
"Great Percy Street, Clerkenwell",41.0,39.0,48.0,30.0,39.5,31.0,51.528915,-0.11548
"Great Russell Street, Bloomsbury",48.0,68.0,58.0,51.0,56.25,54.0,51.517727,-0.127854
"Great Suffolk Street, The Borough",46.0,28.0,37.0,33.0,36.0,27.0,51.501732,-0.100292
"Great Titchfield Street, Fitzrovia",54.0,50.0,44.0,47.0,48.75,44.0,51.520253,-0.141327
"Great Tower Street, Monument",133.0,119.0,123.0,131.0,126.5,93.0,51.510484,-0.082989
"Green Park Station, Mayfair",125.0,122.0,126.0,104.0,119.25,108.0,51.506613,-0.142844
"Green Street, Mayfair",103.0,93.0,108.0,92.0,99.0,72.0,51.512276,-0.157436
"Greenberry Street, St.John's Wood",23.0,15.0,19.0,14.0,17.75,15.0,51.53256,-0.16862
"Greenland Road, Camden Town",52.0,57.0,86.0,60.0,63.75,31.0,51.539099,-0.141728
"Grenfell Road, Avondale",16.0,17.0,22.0,18.0,18.25,18.0,51.5129,-0.214762
"Greycoat Street , Westminster",15.0,23.0,17.0,19.0,18.5,22.0,51.494591,-0.134234
"Greyhound Road, Hammersmith",54.0,58.0,50.0,44.0,51.5,46.0,51.486062,-0.214428
"Grosvenor Crescent, Belgravia",10.0,7.0,8.0,13.0,9.5,10.0,51.501352,-0.153194
"Grosvenor Road, Pimlico",35.0,35.0,25.0,36.0,32.75,44.0,51.485357,-0.142207
"Grosvenor Square, Mayfair",60.0,46.0,86.0,59.0,62.75,55.0,51.51217,-0.150481
"Grove End Road, St. John's Wood",59.0,38.0,41.0,26.0,41.0,37.0,51.530889,-0.17677
"Guildhouse Street, Victoria",37.0,39.0,43.0,42.0,40.25,23.0,51.492345,-0.141334
"Guilford Street , Bloomsbury",78.0,69.0,64.0,70.0,70.25,63.0,51.523346,-0.120202
"Gunmakers Lane, Old Ford",27.0,34.0,41.0,26.0,32.0,31.0,51.535179,-0.03338
"Gwendwr Road, West Kensington",29.0,31.0,33.0,33.0,31.5,29.0,51.491026,-0.209121
"Haggerston Road, Haggerston",64.0,64.0,73.0,74.0,68.75,55.0,51.539328,-0.074284
"Halford Road, West Kensington",46.0,43.0,35.0,33.0,39.25,54.0,51.483911,-0.197609
"Hammersmith Road, Hammersmith",50.0,64.0,81.0,54.0,62.25,58.0,51.493267,-0.21985
"Hampstead Road, Euston",62.0,67.0,58.0,67.0,63.5,51.0,51.525542,-0.138231
"Hampton Street, Walworth",58.0,53.0,54.0,57.0,55.5,50.0,51.49217,-0.101536
"Handyside Street, King's Cross",50.0,72.0,58.0,63.0,60.75,54.0,51.53724,-0.124807
"Hansard Mews, Holland Park",24.0,39.0,29.0,34.0,31.5,28.0,51.503802,-0.215808
"Harcourt Terrace, West Brompton",62.0,58.0,75.0,73.0,67.0,61.0,51.487958,-0.187404
"Hardwick Street, Clerkenwell",31.0,27.0,35.0,23.0,29.0,33.0,51.527842,-0.108068
"Harford Street, Mile End",21.0,33.0,16.0,17.0,21.75,30.0,51.521564,-0.039264
"Harper Road, The Borough",30.0,34.0,39.0,42.0,36.25,35.0,51.498597,-0.096191
"Harriet Street, Knightsbridge",65.0,44.0,109.0,54.0,68.0,55.0,51.500241,-0.15934
"Harrington Square 1, Camden Town",48.0,59.0,59.0,37.0,50.75,36.0,51.533019,-0.139174
"Harrowby Street, Marylebone",30.0,31.0,34.0,42.0,34.25,21.0,51.517372,-0.164207
"Hartington Road, Stockwell",61.0,56.0,56.0,35.0,52.0,45.0,51.47787,-0.126874
"Hatton Garden, Holborn",92.0,65.0,87.0,83.0,81.75,75.0,51.518825,-0.108028
"Hatton Wall, Holborn",76.0,93.0,78.0,98.0,86.25,74.0,51.521661,-0.109006
"Hawley Crescent, Camden Town",26.0,23.0,,20.0,23.0,18.0,51.541007,-0.14326
"Heath Road, Battersea",25.0,22.0,18.0,25.0,22.5,19.0,51.468669,-0.146544
"Here East North, Queen Elizabeth Olympic Park",24.0,15.0,20.0,16.0,18.75,24.0,51.548731,-0.022606
"Here East South, Queen Elizabeth Olympic Park",23.0,13.0,1.0,6.0,10.75,3.0,51.546532,-0.020597
"Hereford Road, Bayswater",54.0,62.0,39.0,39.0,48.5,34.0,51.513735,-0.193487
"Hermitage Court, Wapping",26.0,38.0,34.0,35.0,33.25,33.0,51.504719,-0.063531
"Heron Quays DLR, Canary Wharf",22.0,29.0,13.0,24.0,22.0,16.0,51.502661,-0.021596
"Hertford Road, De Beauvoir Town",50.0,38.0,44.0,59.0,47.75,42.0,51.537277,-0.079201
"Hewison Street, Old Ford",38.0,47.0,34.0,29.0,37.0,37.0,51.533283,-0.028155
"Hibbert Street, Battersea",76.0,74.0,60.0,40.0,62.5,54.0,51.46517,-0.180389
"High Holborn , Covent Garden",63.0,78.0,69.0,54.0,66.0,60.0,51.516226,-0.124826
"Hinde Street, Marylebone",76.0,69.0,79.0,78.0,75.5,59.0,51.516814,-0.151926
"Holborn Circus, Holborn",119.0,114.0,137.0,109.0,119.75,85.0,51.51795,-0.108657
"Holden Street, Battersea",23.0,18.0,17.0,22.0,20.0,21.0,51.46879,-0.15823
"Holland Park, Kensington",13.0,38.0,25.0,29.0,26.25,17.0,51.502319,-0.200742
"Hollybush Gardens, Bethnal Green",31.0,33.0,24.0,30.0,29.5,32.0,51.527607,-0.057133
"Holy Trinity Brompton, Knightsbridge",70.0,52.0,68.0,51.0,60.25,56.0,51.497056,-0.168917
"Hop Exchange, The Borough",193.0,194.0,189.0,195.0,192.75,181.0,51.504627,-0.091773
"Horseferry Road, Westminster",55.0,70.0,69.0,54.0,62.0,41.0,51.494816,-0.130458
"Hortensia Road, West Brompton",42.0,53.0,49.0,38.0,45.5,48.0,51.481765,-0.185273
"Houghton Street, Strand",37.0,24.0,44.0,30.0,33.75,23.0,51.51362,-0.116764
"Houndsditch, Aldgate",64.0,49.0,61.0,62.0,59.0,50.0,51.514449,-0.077178
"Howick Place, Westminster",77.0,74.0,83.0,75.0,77.25,70.0,51.496753,-0.138733
"Howland Street, Fitzrovia",83.0,93.0,85.0,70.0,82.75,54.0,51.520994,-0.139016
"Hoxton Station, Hoxton",51.0,38.0,57.0,51.0,49.25,50.0,51.531091,-0.075901
"Hoxton Street, Hoxton",39.0,27.0,24.0,21.0,27.75,18.0,51.52959,-0.0801
"Humbolt Road, Fulham",41.0,47.0,55.0,39.0,45.5,46.0,51.483217,-0.21186
"Hurlingham Park, Parsons Green",34.0,23.0,27.0,23.0,26.75,14.0,51.470131,-0.20464
"Hyde Park Corner, Hyde Park",393.0,305.0,445.0,384.0,381.75,270.0,51.503117,-0.15352
"Ilchester Gardens, Bayswater",77.0,55.0,50.0,53.0,58.75,40.0,51.51244,-0.19096
"Ilchester Place, Kensington",13.0,25.0,20.0,16.0,18.5,13.0,51.500743,-0.202759
"Imperial College, Knightsbridge",74.0,71.0,61.0,56.0,65.5,55.0,51.499428,-0.179702
"Imperial Road, Sands End",34.0,42.0,36.0,27.0,34.75,30.0,51.475142,-0.187278
"Imperial Wharf Station, Sands End",81.0,74.0,70.0,89.0,78.5,82.0,51.474665,-0.183165
"Import Dock, Canary Wharf",57.0,56.0,50.0,59.0,55.5,42.0,51.505772,-0.01646
"Ingrave Street, Clapham Junction",16.0,10.0,12.0,19.0,14.25,23.0,51.467454,-0.172293
"Irene Road, Parsons Green",46.0,27.0,28.0,19.0,30.0,30.0,51.473763,-0.19701
"Islington Green, Angel",122.0,98.0,111.0,83.0,103.5,97.0,51.536384,-0.102757
"Jewry Street, Aldgate",52.0,64.0,69.0,65.0,62.5,56.0,51.513406,-0.076793
"Jubilee Crescent, Cubitt Town",25.0,16.0,27.0,24.0,23.0,17.0,51.493381,-0.007542
"Jubilee Plaza, Canary Wharf",74.0,73.0,79.0,63.0,72.25,84.0,51.5034,-0.020242
"Jubilee Street, Stepney",49.0,38.0,43.0,35.0,41.25,19.0,51.515975,-0.053177
"Kennington Cross, Kennington",81.0,73.0,88.0,77.0,79.75,61.0,51.48894,-0.111435
"Kennington Lane Rail Bridge, Vauxhall",127.0,96.0,138.0,84.0,111.25,78.0,51.486343,-0.122492
"Kennington Oval, Oval",27.0,44.0,62.0,43.0,44.0,54.0,51.483145,-0.113134
"Kennington Road  , Vauxhall",46.0,28.0,43.0,47.0,41.0,50.0,51.495718,-0.110889
"Kennington Road Post Office, Oval",32.0,30.0,62.0,27.0,37.75,46.0,51.484788,-0.110683
"Kennington Station, Kennington",42.0,49.0,37.0,40.0,42.0,43.0,51.488852,-0.105593
"Kensington Church Street, Kensington",71.0,60.0,71.0,72.0,68.5,60.0,51.503157,-0.191496
"Kensington Gore, Knightsbridge",13.0,34.0,30.0,49.0,31.5,20.0,51.501432,-0.178656
"Kensington Olympia Station, Olympia",44.0,35.0,40.0,28.0,36.75,29.0,51.498157,-0.209494
"Kensington Town Hall, Kensington",22.0,23.0,26.0,35.0,26.5,23.0,51.501945,-0.194392
"Killick Street, King's Cross",15.0,22.0,23.0,17.0,19.25,12.0,51.5338,-0.118677
"King Edward Street, St Pauls",37.0,36.0,37.0,31.0,35.25,24.0,51.51601,-0.0985
"King Edward Walk, Waterloo",16.0,13.0,27.0,11.0,16.75,6.0,51.49775,-0.10988
"Kings Gate House, Westminster",39.0,41.0,40.0,37.0,39.25,37.0,51.497698,-0.137598
"Kingsway Southbound, Strand",50.0,45.0,60.0,47.0,50.5,32.0,51.513875,-0.117774
"Kingsway, Covent Garden",24.0,15.0,24.0,27.0,22.5,14.0,51.514409,-0.118478
"Knaresborough Place, Earl's Court",45.0,35.0,39.0,34.0,38.25,51.0,51.493631,-0.190603
"Knightsbridge, Hyde Park",67.0,58.0,31.0,80.0,59.0,58.0,51.502757,-0.155349
"LMU Commercial Road, Whitechapel",52.0,73.0,67.0,72.0,66.0,71.0,51.514924,-0.066078
"LSBU (Borough Road), Elephant & Castle",42.0,29.0,46.0,29.0,36.5,49.0,51.498744,-0.103132
"Ladbroke Grove Central, Ladbroke Grove",18.0,21.0,16.0,13.0,17.0,6.0,51.511624,-0.205921
"Lambeth North Station, Waterloo",33.0,36.0,25.0,45.0,34.75,34.0,51.49914,-0.112031
"Lambeth Palace Road, Waterloo",145.0,138.0,106.0,119.0,127.0,76.0,51.500089,-0.116628
"Lambeth Road, Vauxhall",44.0,46.0,34.0,41.0,41.25,33.0,51.494881,-0.117974
"Lancaster Drive, Blackwall",12.0,15.0,12.0,8.0,11.75,14.0,51.503143,-0.008428
"Lancaster Gate , Bayswater",46.0,54.0,98.0,89.0,71.75,55.0,51.511654,-0.179668
"Langdon Park, Poplar",8.0,15.0,6.0,12.0,10.25,2.0,51.51549,-0.013475
"Lansdowne Drive, Hackney Central",33.0,31.0,37.0,43.0,36.0,35.0,51.539834,-0.062806
"Lansdowne Road, Ladbroke Grove",45.0,43.0,46.0,41.0,43.75,42.0,51.507481,-0.205535
"Lansdowne Walk, Ladbroke Grove",13.0,18.0,6.0,20.0,14.25,14.0,51.509591,-0.204666
"Lavington Street, Bankside",40.0,65.0,58.0,49.0,53.0,52.0,51.505224,-0.098031
"Lee Valley VeloPark, Queen Elizabeth Olympic Park",24.0,9.0,30.0,,21.0,,51.549369,-0.015717
"Leman Street, Aldgate",94.0,66.0,85.0,100.0,86.25,85.0,51.512363,-0.069542
"Leonard Circus , Shoreditch",77.0,105.0,100.0,91.0,93.25,65.0,51.524696,-0.084439
"Lexham Gardens, Kensington",51.0,38.0,60.0,45.0,48.5,37.0,51.495866,-0.191933
"Lightermans Road, Millwall",28.0,24.0,22.0,35.0,27.25,35.0,51.499041,-0.020157
"Limburg Road, Clapham Junction",18.0,23.0,18.0,17.0,19.0,17.0,51.461923,-0.165297
"Limerston Street, West Chelsea",118.0,104.0,127.0,110.0,114.75,108.0,51.485587,-0.18119
"Lincoln's Inn Fields, Holborn",49.0,40.0,45.0,30.0,41.0,41.0,51.516277,-0.118272
"Lisson Grove, St. John's Wood",28.0,29.0,23.0,20.0,25.0,28.0,51.526448,-0.17219
"Little Argyll Street, West End",173.0,152.0,131.0,136.0,148.0,128.0,51.514499,-0.141423
"Little Brook Green, Brook Green",40.0,37.0,27.0,32.0,34.0,28.0,51.496664,-0.223868
"Liverpool Road (N1 Centre), Angel",65.0,79.0,58.0,56.0,64.5,55.0,51.534504,-0.106992
"Lollard Street, Vauxhall",50.0,43.0,61.0,62.0,54.0,45.0,51.49288,-0.114934
"London Fields, Hackney Central",100.0,133.0,138.0,118.0,122.25,132.0,51.54119,-0.058826
"London Street, Paddington",114.0,115.0,59.0,96.0,96.0,70.0,51.515117,-0.173712
"London Zoo Car Park, The Regent's Park",25.0,39.0,25.0,30.0,29.75,20.0,51.536922,-0.150181
"London Zoo,  The Regent's Park",18.0,38.0,13.0,28.0,24.25,18.0,51.535836,-0.156285
"Long Lane , Bermondsey",55.0,53.0,61.0,49.0,54.5,32.0,51.499075,-0.085666
"Longford Street, The Regent's Park",18.0,24.0,24.0,15.0,20.25,35.0,51.525595,-0.144083
"Lord's, St. John's Wood",12.0,29.0,27.0,19.0,21.75,19.0,51.529121,-0.171185
"Lots Road, West Chelsea",43.0,32.0,45.0,29.0,37.25,32.0,51.479573,-0.179038
"Lower Marsh, Waterloo",69.0,49.0,48.0,46.0,53.0,43.0,51.500139,-0.113936
"Lower Thames Street, Monument",72.0,48.0,47.0,45.0,53.0,36.0,51.509301,-0.084985
"Macclesfield Rd, St Lukes",77.0,62.0,80.0,69.0,72.0,83.0,51.529423,-0.097122
"Maida Vale, Maida Vale",61.0,80.0,68.0,35.0,61.0,70.0,51.529857,-0.183486
"Malet Street, Bloomsbury",90.0,76.0,66.0,54.0,71.5,64.0,51.52168,-0.130431
"Mallory Street, Marylebone",22.0,20.0,29.0,29.0,25.0,21.0,51.525051,-0.166304
"Malmesbury Road, Bow",18.0,13.0,5.0,12.0,12.0,11.0,51.529452,-0.027616
"Manbre Road, Hammersmith",22.0,22.0,35.0,22.0,25.25,19.0,51.485743,-0.223616
"Manresa Road, Chelsea",50.0,49.0,47.0,49.0,48.75,49.0,51.486892,-0.170983
"Maplin Street, Mile End",77.0,93.0,85.0,95.0,87.5,74.0,51.525501,-0.032267
"Margery Street, Clerkenwell",38.0,35.0,34.0,45.0,38.0,35.0,51.526599,-0.112432
"Marloes Road, Kensington",23.0,27.0,22.0,18.0,22.5,24.0,51.496481,-0.192404
"Marylebone Lane, Marylebone",81.0,76.0,72.0,63.0,73.0,71.0,51.514759,-0.148105
"Merchant Street, Bow",19.0,25.0,18.0,22.0,21.0,21.0,51.526578,-0.027581
"Mexfield Road, East Putney",14.0,9.0,13.0,8.0,11.0,10.0,51.45682,-0.202802
"Michael Road, Walham Green",36.0,31.0,21.0,30.0,29.5,25.0,51.477276,-0.18921
"Mile End Park Leisure Centre, Mile End",55.0,25.0,57.0,17.0,38.5,62.0,51.520597,-0.032566
"Mile End Stadium, Mile End",47.0,59.0,52.0,44.0,50.5,40.0,51.518541,-0.034903
"Millbank Tower, Pimlico",50.0,61.0,61.0,70.0,60.5,60.0,51.491884,-0.125674
"Millharbour, Millwall",9.0,16.0,17.0,13.0,13.75,3.0,51.496137,-0.019355
"Milroy Walk, South Bank",63.0,53.0,69.0,58.0,60.75,55.0,51.507244,-0.106237
"Monier Road, Hackney Wick",50.0,46.0,56.0,35.0,46.75,48.0,51.540311,-0.02163
"Montpelier Street, Knightsbridge",66.0,78.0,90.0,67.0,75.25,60.0,51.498884,-0.165471
"Montserrat Road , Putney",11.0,17.0,14.0,14.0,14.0,15.0,51.463211,-0.21555
"Monument Street, Monument",91.0,77.0,72.0,75.0,78.75,60.0,51.50964,-0.08497
"Moor Street, Soho",108.0,109.0,129.0,98.0,111.0,86.0,51.513527,-0.13011
"Moorfields, Moorgate",99.0,45.0,99.0,67.0,77.5,74.0,51.519069,-0.088285
"Morie Street, Wandsworth",12.0,16.0,13.0,16.0,14.25,18.0,51.459953,-0.190184
"Mostyn Grove, Bow",42.0,30.0,43.0,19.0,33.5,36.0,51.530535,-0.025492
"Mudchute DLR, Cubitt Town",16.0,14.0,17.0,7.0,13.5,5.0,51.490645,-0.014582
"Murray Grove , Hoxton",50.0,38.0,54.0,49.0,47.75,55.0,51.53089,-0.089782
"Museum of London, Barbican",85.0,83.0,112.0,79.0,89.75,80.0,51.517821,-0.096496
"Nantes Close, Wandsworth",16.0,28.0,17.0,16.0,19.25,7.0,51.46193,-0.180791
"Napier Avenue, Millwall",15.0,14.0,13.0,20.0,15.5,14.0,51.487679,-0.021582
"Natural History Museum, South Kensington",48.0,62.0,61.0,48.0,54.75,49.0,51.495592,-0.179077
"Naval Row, Blackwall",18.0,24.0,20.0,21.0,20.75,23.0,51.508981,-0.00699
"Nesham Street, Wapping",86.0,95.0,80.0,85.0,86.5,80.0,51.507131,-0.06691
"Nevern Place, Earl's Court",28.0,24.0,28.0,26.0,26.5,39.0,51.493343,-0.194757
"Neville Gill Close, Wandsworth",31.0,33.0,33.0,23.0,30.0,17.0,51.454752,-0.195197
"New Cavendish Street, Marylebone",71.0,62.0,73.0,69.0,68.75,58.0,51.519167,-0.147983
"New Fetter Lane, Holborn",92.0,89.0,87.0,85.0,88.25,59.0,51.517428,-0.107987
"New Globe Walk, Bankside",45.0,50.0,53.0,47.0,48.75,33.0,51.507385,-0.09644
"New Inn Yard, Shoreditch",63.0,59.0,59.0,62.0,60.75,61.0,51.524526,-0.079248
"New Kent Road, The Borough",42.0,29.0,42.0,32.0,36.25,42.0,51.494436,-0.092921
"New North Road 2, Hoxton",17.0,18.0,12.0,16.0,15.75,22.0,51.53114,-0.086016
"New Road 1 , Whitechapel",67.0,78.0,71.0,90.0,76.5,59.0,51.518154,-0.062697
"New Spring Gardens Walk, Vauxhall",34.0,25.0,28.0,30.0,29.25,19.0,51.487807,-0.122759
"Newby Place, Poplar",9.0,10.0,7.0,15.0,10.25,10.0,51.508896,-0.012413
"Newgate Street , St. Paul's",119.0,89.0,93.0,100.0,100.25,90.0,51.515418,-0.09885
"Newton Street, Covent Garden",44.0,37.0,39.0,35.0,38.75,31.0,51.516128,-0.120909
"Normand Park, West Kensington",77.0,69.0,70.0,60.0,69.0,65.0,51.484386,-0.204815
"Normandy Road, Stockwell",47.0,66.0,40.0,36.0,47.25,44.0,51.473874,-0.11258
"North Audley Street, Mayfair",59.0,59.0,79.0,67.0,66.0,65.0,51.512911,-0.153645
"North Wharf Road, Paddington",68.0,75.0,59.0,59.0,65.25,46.0,51.518622,-0.176645
"Northdown Street, King's Cross",34.0,41.0,29.0,28.0,33.0,19.0,51.531066,-0.11934
"Northfields, Wandsworth",24.0,14.0,20.0,10.0,17.0,14.0,51.460951,-0.200667
"Northington Street , Holborn",61.0,69.0,53.0,61.0,61.0,50.0,51.522264,-0.114079
"Northumberland Avenue, Strand",93.0,104.0,68.0,73.0,84.5,58.0,51.506767,-0.123702
"Norton Folgate, Liverpool Street",46.0,50.0,57.0,53.0,51.5,46.0,51.521113,-0.078869
"Notting Hill Gate Station, Notting Hill",118.0,77.0,100.0,93.0,97.0,98.0,51.509353,-0.196422
"Nutford Place, Marylebone",24.0,46.0,43.0,29.0,35.5,36.0,51.516517,-0.164393
"Old Brompton Road, South Kensington",54.0,49.0,74.0,60.0,59.25,51.0,51.490945,-0.18119
"Old Ford Road, Bethnal Green",30.0,32.0,38.0,50.0,37.5,23.0,51.531127,-0.048017
"Old Montague Street, Whitechapel",54.0,58.0,50.0,63.0,56.25,50.0,51.51793,-0.067937
"Old Quebec Street, Marylebone",103.0,125.0,144.0,120.0,123.0,100.0,51.514577,-0.158264
"Old Street Station, St. Luke's",107.0,113.0,123.0,119.0,115.5,115.0,51.52548,-0.089659
"Ontario Street, Elephant & Castle",52.0,54.0,44.0,44.0,48.5,46.0,51.49652,-0.101384
"Orbel Street, Battersea",38.0,20.0,49.0,15.0,30.5,28.0,51.474535,-0.17021
"Ormonde Gate, Chelsea",66.0,22.0,35.0,37.0,40.0,48.0,51.487964,-0.161765
"Orsett Terrace, Bayswater",18.0,13.0,16.0,18.0,16.25,20.0,51.517932,-0.183716
"Osiers Road, Wandsworth",38.0,41.0,34.0,17.0,32.5,32.0,51.46067,-0.198735
"Ossulston Street, Somers Town",73.0,57.0,57.0,69.0,64.0,38.0,51.5293,-0.128279
"Oxford Road, Putney",6.0,16.0,12.0,10.0,11.0,11.0,51.460792,-0.212607
"Paddington Green, Paddington",7.0,14.0,7.0,8.0,9.0,10.0,51.520205,-0.174593
"Paddington Street, Marylebone",44.0,49.0,79.0,36.0,52.0,,51.520583,-0.154701
"Page Street, Westminster",78.0,70.0,87.0,84.0,79.75,68.0,51.493978,-0.127554
"Palace Gardens Terrace, Notting Hill",72.0,64.0,57.0,50.0,60.75,48.0,51.508605,-0.193764
"Palace Gate, Kensington Gardens",141.0,145.0,135.0,45.0,116.5,68.0,51.502042,-0.1844
"Palissy Street, Shoreditch",41.0,31.0,31.0,33.0,34.0,24.0,51.526293,-0.073955
"Pall Mall East, West End",118.0,97.0,105.0,87.0,101.75,86.0,51.50777,-0.130699
"Pancras Road, King's Cross",45.0,37.0,36.0,41.0,39.75,37.0,51.534123,-0.129386
"Panton Street, West End",113.0,81.0,125.0,99.0,104.5,96.0,51.509639,-0.13151
"Park Lane , Hyde Park",112.0,171.0,185.0,170.0,159.5,48.0,51.510017,-0.157275
"Park Lane, Mayfair",41.0,30.0,36.0,40.0,36.75,26.0,51.505426,-0.150817
"Park Road (Baker Street), The Regent's Park",81.0,96.0,96.0,66.0,84.75,60.0,51.524517,-0.158963
"Park Street, Bankside",36.0,52.0,54.0,38.0,45.0,38.0,51.505974,-0.092754
"Parkway, Camden Town",52.0,49.0,37.0,27.0,41.25,25.0,51.538071,-0.144664
"Parson's Green , Parson's Green",59.0,70.0,56.0,50.0,58.75,48.0,51.472817,-0.199783
"Parsons Green Station, Parsons Green",72.0,63.0,84.0,55.0,68.5,50.0,51.475089,-0.201968
"Pembridge Villas, Notting Hill",26.0,37.0,37.0,39.0,34.75,28.0,51.511084,-0.197524
"Penfold Street, Marylebone",18.0,19.0,13.0,18.0,17.0,20.0,51.522892,-0.171681
"Penywern Road, Earl's Court",60.0,68.0,69.0,66.0,65.75,64.0,51.491593,-0.192369
"Percival Street, Finsbury",39.0,47.0,38.0,35.0,39.75,34.0,51.526153,-0.102208
"Peterborough Road, Sands End",19.0,19.0,20.0,27.0,21.25,15.0,51.46904,-0.196274
"Phene Street, Chelsea",70.0,60.0,66.0,63.0,64.75,64.0,51.484984,-0.167919
"Phillimore Gardens, Kensington",65.0,58.0,68.0,82.0,68.25,70.0,51.499606,-0.197574
"Philpot Street, Whitechapel",46.0,57.0,51.0,41.0,48.75,35.0,51.515256,-0.058641
"Pindar Street, Liverpool Street",31.0,30.0,41.0,32.0,33.5,23.0,51.520955,-0.083493
